ORIGEM DOS DADOS;CÓDIGO OBRA;PROCESSO;SECRETARIA CONTRATANTE;SECRETARIA RESPONSÁVEL;SUBPREFEITURA;REGIÃO;DISTRITO;LOCAL;LATITUDE;LONGITUDE;NOME DA OBRA;ESCOPO DO CONTRATO;CATEGORIA;SUBCATEGORIA;CLASSIFICAÇÃO;STATUS;FONTES DE RECURSO;DT INÍCIO DA OBRA;DT TÉRMINO DA OBRA;NÚMERO DO CONTRATO;EMPRESA CONTRATADA;CNPJ CONTRATADA;PROGRAMA DE METAS;VALOR INICIAL DO CONTRATO;VALOR DE ADITAMENTOS;VALOR TOTAL DO CONTRATO;VALOR EXECUTADO DO CONTRATO;VALOR DE REAJUSTES;VALOR DE INVESTIMENTOS
SIURB;C0132001;6018201900393594;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;CT;LESTE;Cidade Tiradentes;08472-610 - R. Cachoeira Morena, 462-508 - Conj. Hab. Inacio Monteiro, São Paulo - SP, 08472-610, Brasil;-23.5719;-46.4033;UPA CIDADE TIRADENTES;Execução de serviços e obras para conclusão da construção da UPA tipo III - Cidade Tiradentes - Rua Cachoeira Morena x Rua Igarapé Diana;Unidades de Saúde;CONSTRUÇÃO;UPA;CONCLUÍDA;00-Tesouro Municipal\02-Transferências Federais;11/05/2020;05/08/2021;013/SIURB/20;KLE ENGENHARIA EIRELI;	11479176000194;	;R$4.770.381,51;R$1.098.475,01;R$5.868.856,52;R$5.821.078,16;R$0,00;R$5.821.078,16
SIURB;C0162001;6018201900403336;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;PA;SUL;Parelheiros;Estr. Ecoturística de Parelheiros, 5350 - Jardim Casa Grande, São Paulo - SP, 04883, Brasil;-23.8160;-46.7353;UPA PARELHEIROS;Execução de serviços e obras para conclusão da Construção da UPA tipo III - Parelheiros, situada na Av. Sadamu Inoue, 5252 SUB/PA;Unidades de Saúde;CONSTRUÇÃO;UPA;CONCLUÍDA;00-Tesouro Municipal\02-Transferências Federais;14/05/2020;05/10/2021;016/SIURB/20;BELLACON CONSTRUTORA E INCORPORADORA EIRELI;	07667763000130;	;R$4.719.939,61;R$1.101.151,39;R$5.821.091,00;R$5.587.898,06;R$0,00;R$5.587.898,06
SIURB;C0162201;6022202100006570;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SM;LESTE;São Rafael;Av. dos Sertanistas, 1155 - Jardim Santo Andre, São Paulo - SP, 08390-240, Brasil;-23.6304;-46.4460;PRA - AV. SERTANISTAS;CONTRATAÇÃO DA EXECUÇÃO DE OBRAS DE DRENAGEM NA AVENIDA DOS SERTANISTAS, RUA ROCHA CONATOE E RUA JOSE CARLOS DE ALMEIDA, LOCALIZADAS NA SUBPREFEITURA DE SÃO MATHEUS  SP.;Drenagem;MANUTENÇÃO;PRA;EM ANDAMENTO;03-PMSP-SEHAB/Fundo Municipal de Saneamento Ambiental e Infraestrutura\03-Transferências Estaduais;05/08/2022;01/02/2023;016/SIURB/22;VERDEBIANCO ENGENHARIA EIRELI;	3992945000125;	;R$2.332.284,72;R$0,00;R$2.332.284,72;R$2.271.630,62;R$0,00;R$2.271.630,62
SIURB;C0172001;6018201900393551;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;MO;LESTE;Mooca;Rua Dr. Fomm, 284 - Belenzinho, São Paulo - SP, 03163-030, Brasil;-23.5466;-46.5951;UPA MOOCA;Execução de serviços e obras para conclusão da construção da UPA tipo III - Mooca;Unidades de Saúde;CONSTRUÇÃO;UPA;CONCLUÍDA;00-Tesouro Municipal\02-Transferências Federais;29/05/2020;01/08/2021;017/SIURB/20;BELLACON CONSTRUTORA E INCORPORADORA EIRELI;	07667763000130;	;R$4.595.286,03;R$1.074.709,90;R$5.669.995,93;R$5.585.640,69;R$0,00;R$5.585.640,69
SIURB;C0182001;6018201900393586;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;JA;SUL;Jabaquara;R. Cruz das Almas, 290 - Vila Campestre, São Paulo - SP, 04330-060, Brasil;-23.6530;-46.6453;UPA JABAQUARA;Execução de serviços e obras para conclusão da Construção da UPA Jabaquara, situada na Rua Cruz das Almas SUB/JA;Unidades de Saúde;CONSTRUÇÃO;UPA;CONCLUÍDA;00-Tesouro Municipal\02-Transferências Federais;14/05/2020;13/05/2021;018/SIURB/20;BELLACON CONSTRUTORA E INCORPORADORA EIRELI;	07667763000130;	;R$4.695.606,62;R$1.086.072,62;R$5.781.679,24;R$5.752.677,64;R$0,00;R$5.752.677,64
SIURB;C0182101;6022202000008660;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IT;LESTE;VILA CURUÇÁ;Parque Ecológico Chico Mendes;-23.5079561;-46.4256691;Obras de Drenagem no Parque Ecológico Chico Mendes e Rua Joaquim Leal;EXECUÇÃO DAS OBRAS DE DRENAGEM, ADEQUAÇÃO DAS MARGENS, DRAGAGEM E DESASSOREAMENTO DA LAGOA E MICRO DRENAGEM DA RUA JOAQUIM LEAL E NO PARQUE ECOLÓGICO CHICO MENDES;Drenagem;CONSTRUÇÃO;OBRAS;CONCLUÍDA;03-Transferências Estaduais;21/06/2021;30/09/2022;018/SIURB/21;M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA;	67192609000180;		;R$4.185.300,48;R$1.023.346,09;R$5.208.646,57;R$3.636.923,17;R$0,00;R$3.636.923,17
SIURB;C0192001;6018201900393560;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;VM;SUL;Vila Mariana;R. Dr. Diogo de Faria, 609 - Vila Clementino, São Paulo - SP, 04037-002, Brasil;-23.5959;-46.6426;UPA VILA MARIANA;Execução de serviços e obras para conclusão da Construção da UPA tipo III - Vila Mariana, situada na Rua Diogo de Faria x Rua Botucatu SUB/VM;Unidades de Saúde;CONSTRUÇÃO;UPA;CONCLUÍDA;00-Tesouro Municipal\02-Transferências Federais;14/05/2020;24/07/2021;019/SIURB/20;BELLACON CONSTRUTORA E INCORPORADORA EIRELI;	07667763000130;	;R$4.797.779,78;R$1.057.787,96;R$5.855.567,74;R$5.653.170,80;R$0,00;R$5.653.170,80
SIURB;C0192201;6022202200004170;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IT;LESTE;ITAIM PAULISTA;Córrego Lajeado, entre Rua Ipê Roxo e Rua Paraitinga;-23.504713;-46.405293;Contenção de talude e recuperação da margem do Córrego Lajeado;OBRA EMERGENCIAL PARA CONTENÇÃO DE TALUDE E RECUPERAÇÃO DA MARGEM DO CÓRREGO LAJEADO - TRECHO ENTRE RUA IPÊ ROXO E RUA PARATINGA;Drenagem;MANUTENÇÃO;Margens de córrego;CONCLUÍDA;00-Tesouro Municipal;31/01/2022;29/07/2022;019/SIURB/22;FFL SINALIZAÇÃO COMERCIO E SERVIÇOS EIRELI;	08068681000131;	;R$23.415.407,74;R$0,00;R$23.415.407,74;R$22.888.912,19;R$0,00;R$22.888.912,19
SIURB;C0202001;6018201900393578;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;PJ;NORTE;Jaraguá;Estr. das Taipas, 1650 - Parque Nações Unidas, São Paulo - SP, 02995-145, Brasil;-23.4417;-46.7336;UPA CITY JARAGUÁ;Execução de serviços e obras para conclusão da Construção da UPA tipo III - City Jaraguá;Unidades de Saúde;CONSTRUÇÃO;UPA;CONCLUÍDA;00-Tesouro Municipal\02-Transferências Federais;14/05/2020;12/08/2021;020/SIURB/20;KLE ENGENHARIA EIRELI;	11479176000194;	;R$5.274.082,51;R$1.115.236,35;R$6.389.318,86;R$6.159.565,84;R$0,00;R$6.159.565,84
SIURB;C0202201;6022202100046679;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IT;LESTE;ITAIM PAULISTA;Rua Desembargador Augusto de Macedo Costa Junior;-23.498104;-46.368974;Recomposição da margem do córrego, reconstrução dos sistemas de drenagem, recuperação do passeio;OBRA EMERGENCIAL PARA RECOMPOSIÇÃO DA MARGEM DO CÓRREGO, RECONSTRUÇÃO DOS SISTEMAS DE DRENAGEM, RECUPERAÇÃO DO PASSEIO, GUIAS E SARJETAS E RECOMPOSIÇÃO DE TALUDE, NA RUA DESEMBARGADOR AUGUSTO DE MACEDO COSTA JUNIOR;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;00-Tesouro Municipal;30/12/2021;28/06/2022;020/SIURB/22;CONSITEC ENGENHARIA E TECNOLOGIA LTDA;	02243019000194;	;R$9.562.696,70;R$0,00;R$9.562.696,70;R$9.562.694,16;R$0,00;R$9.562.694,16
SIURB;C0222201;6022202100038447;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;JT;NORTE;Tremembé;R. Brinco de Princesa, 71;-23.4308;-46.5712;OBRAS DE REOMPOSIÇÃO DE TALUDE NA RUA BRINCO DA PRINCESA;CONTRATAÇÃO EM CARÁTER EMERGENCIAL, PARA RECOMPOSIÇÃO DE TALUDE NA RUA BRINCO DA PRINCESA, Nº 180;Outros;CONSTRUÇÃO;Contenção de talude;CONCLUÍDA;00-Tesouro Municipal;22/11/2021;20/05/2022;022/SIURB/22;M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA;	67192609000180;	;R$25.773.417,88;R$0,00;R$25.773.417,88;R$25.048.252,97;R$0,00;R$25.048.252,97
SIURB;C0242201;6022202100046741;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;PE;LESTE;CANGAÍBA;Rua Manuel Leiroz x Av. Buenos Aires;-23.513806;-46.520054;Córrego, drenagem e Talude Rua Manoel Leiroz x Av Buenos Aires;CONTRATAÇÃO EMERGENCIAL PARA RECOMPOSIÇÃO DE MARGEM DO CÓRREGO, RECONSTRUÇÃO DOS SISTEMAS DE DRENAGEM E RECOMPOSIÇÃO DO TALUDE – RUA MANOEL LEIROZ X AVENIDA BUENOS AIRES – SUBPREFEITURA DA PENHA.;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;00-Tesouro Municipal;29/12/2021;26/06/2022;024/SIURB/22;ARQ SOLUÇÕES EM SERVIÇOS EIRELI;	07656388000122;	;R$13.674.703,60;R$0,00;R$13.674.703,60;R$13.674.356,20;R$0,00;R$13.674.356,20
SIURB;C0251701;7910201900003496;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SE;CENTRO;República;Av São João, 1000;-23.5448;-46.6363;REQUALIFICAÇÃO E REURBANIZAÇÃO DO VALE DO ANHANGABAÚ E ENTORNO;Contratação de empresa especializada em engenharia, arquitetura e urbanismo para elaboração de projetos executivos e execução das obras de requalificação e reurbanização do Vale do Anhangabaú e entorno;Outros;CONSTRUÇÃO;Requalificação Urbana;CONCLUÍDA;08-Tesouro Municipal - Recursos Vinculados;13/12/2017;30/08/2021;025/SMSO/17;CONSORCIO CENTRAL;	27435768000144;	;R$79.934.920,45;R$13.957.274,09;R$93.892.194,54;R$73.239.561,97;R$10.338.540,30;R$83.578.102,27
SIURB;C0322201;6022202200006229;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;IQ;LESTE;ITAQUERA;Av. Diogo José Machado;-23.535794;-46.460090;Contenção de Talude e recomposição de pavimento no Córrego Rio Verde;OBRA EMERGENCIAL PARA CONTENÇÃO DE TALUDE E RECOMPOSIÇÃO DO PAVIMENTO NO CÓRREGO RIO VERDE SUB - ITAQUERA;Drenagem;MANUTENÇÃO;Margens de córrego;CONCLUÍDA;00-Tesouro Municipal;11/02/2022;09/08/2022;032/SIURB/22;BBC CONSTRUCOES E EMPREENDIMENTOS LTDA;	08320397000100;	;R$11.441.961,65;R$0,00;R$11.441.961,65;R$11.437.688,39;R$0,00;R$11.437.688,39
SIURB;C0332201;6022202100046725;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;MG;NORTE;VILA MEDEIROS;Av. Júlio Buono, 2695 (no Cruzamento com a Rua Águas Formosas e Tv. Doralice);-23.479339;-46.584336;Recuperação estrutural no tabuleiro e encontros do pontilhão sobre afluente do Córrego Paciência;RECUPERAÇÃO ESTRUTURAL NO TABULEIRO E NOS ENCONTROS DO PONTILHÃO SOBRE AFLUENTE DO CÓRREGO PACIÊNCIA - AV. JULIO BUONO 2695 X ÁGUAS FORMOSAS E TRAVESSA DORALICE;Outros;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;00-Tesouro Municipal;30/12/2021;27/06/2022;033/SIURB/22;BBC CONSTRUCOES E EMPREENDIMENTOS LTDA;	08320397000100;	;R$10.703.035,66;R$0,00;R$10.703.035,66;R$10.699.084,65;R$0,00;R$10.699.084,65
SIURB;C0362201;6022202100045613;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;MP;LESTE;Vila Jacui;Avenida Ribeirão do Jacu x Avenida imperador;-23.515279;-46.455522;Recomposição do Gabião na Avenida Ribeirão do Jacu x Avenida Imperado;CONTRATAÇÃO EMERGENCIAL PARA RECOMPOSIÇÃO DO GABIÃO LOCALIZADO NA AVENIDA RIBEIRÃO JACU X AVENIDA IMPERADOR;Drenagem;CONSTRUÇÃO;EMERGENCIAL;CONCLUÍDA;00-Tesouro Municipal;22/12/2021;20/06/2022;036/SIURB/22;ALMEIDA SAPATA ENGENHARIA E CONSTRUÇÃO LTDA;	66748955000130;	;R$4.585.931,75;R$0,00;R$4.585.931,75;R$4.585.931,59;R$0,00;R$4.585.931,59
SIURB;C0372201;6022202100003740;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OBRAS;PR;NORTE;PERUS;Praça Inácio Dias e Rua Bernardo José de Lorena (Alteamento de Pontes);-23.4044871;-46.7529571;Canalização e Reservatórios Ribeirão Perus;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DAS OBRAS DE CANALIZAÇÃO DE CÓRREGO ASSOCIADA À IMPLANTAÇÃO DE RESERVATÓRIOS DE AMORTECIMENTO DE CHEIAS E ALTEAMENTO DAS TRAVESSIAS DAS PONTES DO RIBEIRÃO PERUS - ZONA NORTE, SÃO PAULO/SP;Drenagem;CONSTRUÇÃO;OBRAS;EM ANDAMENTO;00-Outros Recursos não Vinculados\00-Tesouro Municipal\01-Operações de Crédito\01-Código Genérico\03-PMSP-SEHAB/Fundo Municipal de Saneamento Ambiental e Infraestrutura\03-PMSP-SEHAB/Fundo Municipal de Saneamento Ambiental e Infraestrutura;01/06/2022;01/06/2025;037/SIURB/22;CONSÓRCIO JDP - RIBEIRÃO PERUS;	46205470000192;		32;R$130.317.108,80;R$31.443.168,36;R$161.760.277,16;R$77.073.063,38;R$10.613.934,26;R$87.686.997,64
